Harmonic Numbers
	Single Precision		Double Precision	
n	H(n)	H(n) (Reverse Order)	H(n)	H(n) (Reverse Order)
1	1.0	1.0	1.0	1.0
10	2.9289684	2.9289684	2.9289682539682538	2.9289682539682538
100	5.187378	5.187377	5.187377517639621	5.1873775176396215
1000	7.4854784	7.4854717	7.485470860550343	7.485470860550341
10000	9.787613	9.787604	9.787606036044348	9.787606036044386
100000	12.090851	12.090153	12.090146129863335	12.090146129863408
1000000	14.357358	14.392652	14.392726722864989	14.392726722865772
10000000	15.403683	16.686031	16.695311365857272	16.695311365859965
100000000	15.403683	18.807919	18.997896413852555	18.997896413853447
1000000000	15.403683	18.807919	21.30048150234855	21.30048150234615
2097150	15.403682	15.132898	15.13330574140365	15.133305741404419
2097151	15.403683	15.132898	15.133306218241035	15.133306218241804
2097152	15.403683	15.132898	15.133306695078193	15.133306695078963
2097153	15.403683	15.132899	15.133307171915124	15.133307171915893
