Standard Deviation
		Single Precision		Double Precision	
n	c	Method One	Method Two	Method One	Method Two
100	0	28.86607	28.86607	28.86607004772212	28.86607004772212
1000	0	288.67593	288.67438	288.6749902572095	288.6749902572095
10000	0	2886.7517	2886.7515	2886.751331514372	2886.751331514372
100000	0	28867.35	28867.533	28867.513458037913	28867.513458037905
1000000	0	288626.0	288758.56	288675.1345958226	288675.1345940234
100	10	28.86607	28.86607	28.86607004772212	28.86607004772212
100	100	28.86607	28.86607	28.86607004772212	28.86607004772212
100	1000	28.86607	28.854116	28.86607004772212	28.86607004772212
100	10000	28.86607	28.977232	28.86607004772212	28.86607004772212
100	100000	28.86607	25.6	28.86607004772212	28.86607004772212
100	1000000	28.86607	0.0	28.86607004772212	28.86607004772212
100	-10	28.86607	28.86607	28.86607004772212	28.86607004772212
100	-100	28.86607	28.86607	28.86607004772212	28.86607004772212
100	-1000	28.86607	28.854116	28.86607004772212	28.86607004772212
100	-10000	28.86607	28.8	28.86607004772212	28.86607004772212
100	-100000	28.86607	36.203865	28.86607004772212	28.86607004772212
100	-1000000	28.86607	289.63092	28.86607004772212	28.86607004772212
1000000	1000000	288626.0	289033.0	288675.1345958226	288675.13460007816
100	0	1101455.2	1101455.2	1101455.2157509294	1101455.2157509292
1000	0	988493.7	988494.1	988493.7499666279	988493.7499666275
10000	0	1012668.4	1012669.25	1012669.6239602031	1012669.6239602024
100000	0	996190.0	996193.4	996197.2872033399	996197.287203344
1000000	0	1001156.9	1001164.1	1001407.5989114896	1001407.5989114769
100	10	1003434.9	1003434.94	1003434.8312010022	1003434.8312010021
100	100	979219.25	979219.1	979219.0377975882	979219.0377975879
100	1000	1049940.5	1049940.5	1049940.543223349	1049940.543223349
100	10000	916991.9	916992.0	916992.0047509158	916992.004750916
100	100000	1003043.1	1003043.1	1003043.1130151289	1003043.1130151286
100	1000000	997566.0	997566.06	997565.9270645939	997565.927064594
100	-10	930086.5	930086.4	930086.4518404114	930086.4518404112
100	-100	1002011.7	1002011.8	1002011.7445354296	1002011.7445354295
100	-1000	939084.5	939084.4	939084.4676279889	939084.4676279887
100	-10000	1072510.0	1072510.0	1072510.010837603	1072510.010837603
100	-100000	1065210.2	1065210.4	1065210.24240475	1065210.2424047498
100	-1000000	977217.4	977217.4	977217.330773587	977217.3307735873
1000000	1000000	1000195.56	1000039.4	1000442.41915017	1000442.4191501973
